LEXEME                 SPELLING
programsym              program
identifier              example
lparen                        (
identifier                input
comma                         ,
identifier               output
rparen                        )
semicolon                     ;
varsym                      var
identifier                    x
comma                         ,
identifier                    y
colon                         :
integersym              integer
semicolon                     ;
varsym                      var
identifier                    a
comma                         ,
identifier                    b
comma                         ,
identifier                    c
colon                         :
charsym                    char
semicolon                     ;
beginsym                  begin
writelnsym              writeln
lparen                        (
identifier               Please
identifier               select
identifier                    a
identifier                  key
andsym                      and
identifier                press
identifier                   it
rparen                        )
semicolon                     ;
readsym                    read
lparen                        (
identifier                    x
rparen                        )
semicolon                     ;
writelnsym              writeln
lparen                        (
identifier                  The
identifier                piece
identifier                  you
identifier              decided
identifier                   to
identifier               select
identifier                  was
rparen                        )
semicolon                     ;
writesym                  write
lparen                        (
identifier                    x
rparen                        )
semicolon                     ;
endsym                      end
period                        .
eofsym                   eofsym
